title,product_link,price,rating,review_count,delivery,stock_status,sponsored
Apple,https://www.amazon.com/Apple-MacBook-16-2-Chip-Late/dp/B0D6JBBLCK,N/A,N/A,0,N/A,In Stock,False
TOBENONE,https://www.amazon.com/TobenONE-MacBook-Docking-Ethernet-Displayport/dp/B0D9H1KB3P,$161.99,4.8,41,"Delivery Wed, Jan 15",In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-Display-16-Core-40-Core/dp/B0CPNBBXFR,N/A,5.0,6,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-Laptop-11%E2%80%91core-14%E2%80%91core/dp/B0CP4KZQZX,N/A,5.0,4,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-2023-MacBook-Laptop-chip/dp/B0C7686169,N/A,4.8,2248,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-core-Space-Black/dp/B0CPN4VWFW,N/A,4.2,9,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-16-2-Chip-Late/dp/B0CQNMZLZQ,N/A,N/A,0,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-16-2-Chip-Late/dp/B0CRSPNG37,N/A,N/A,0,N/A,In Stock,False
ASUS,https://www.amazon.com/ASUS-Vivobook-Laptop-Neutral-S5406MA-AS96/dp/B0CWJZ8HRZ,$899.49,4.1,49,N/A,Only 2 left in stock - order soon.,False
Microsoft,https://www.amazon.com/Microsoft-Surface-Touchscreen-Snapdragon-Sapphire/dp/B0CXKY7JYZ,$969.99,4.2,184,Energy efficiency,Only 3 left in stock - order soon.,False
N/A,https://www.amazon.com/KWRNVO-Extension-Extender-Protector-Charging/dp/B0D5QDP9RZ,$33.99,4.5,101,"Delivery Wed, Jan 15",In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-16-2-Chip-Late/dp/B0CS34RWFJ,N/A,5.0,2,N/A,In Stock,False
SAMSUNG,https://www.amazon.com/SAMSUNG-Snapdragon-Anti-Glare-Long-Lasting-NP750XQA-KB2US/dp/B0D9P7Z33B,N/A,4.8,11,N/A,In Stock,False
N/A,https://www.amazon.com/KEFEYA-Extender-Monitor-Portable-Laptops/dp/B0CFKLK9JY,$109.99,4.6,2645,"Delivery Wed, Jan 15",In Stock,False
N/A,https://www.amazon.com/Computer-Notebook-Fingerprint-1920X1080-MINI-HDMI/dp/B0DHC8NZND,$299.99,3.9,13,"Delivery Fri, Jan 17",In Stock,False
Apple,https://www.amazon.com/Apple-2024-MacBook-13-inch-Laptop/dp/B0CX261SRT,N/A,4.5,36,Energy efficiency,In Stock,False
